"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000378466921487721,57,210,1.83853082973864,"Path:hsa04015 Rap1 signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04015 "," RGS14  ADCY1  ADCY2  ADCY5  ADCY8  ADCY9  CNR1  MAPK14  EFNA5  EGFR  AKT1  FGF2  FGF7  FGFR1  VEGFD  FLT4  SIPA1L1  MAGI3  FGF20  GNAI1  GNAI2  GNAO1  GNAQ  ANGPT1  LPAR4  ANGPT2  GRIN2A  GRIN2B  HGF  IGF1  IGF1R  KITLG  AFDN  NGF  PARD6A  EVL  PDGFRB  PFN2  PGF  PIK3CA  PIK3CB  PLCB2  PRKD1  MAPK13  PDGFC  MAP2K6  LPAR5  RAF1  RAP1B  ACTB  ARAP3  BRAF  ACTG1  VEGFA  RAPGEF2  RAPGEF5  MAGI2"
0.000378466921487721,28,77,2.46310350395608,"Path:hsa05412 Arrhythmogenic right ventricular cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05412 "," CTNNA1  DAG1  DES  DMD  DSG2  DSP  ITGA11  CACNG5  CACNG4  ITGA6  ITGA3  ITGA4  ITGB4  ITGB8  ATP2A2  ATP2A3  LEF1  CACNA2D3  ACTB  SGCA  SGCD  SLC8A3  TCF7  ACTG1  CACNA1D  CACNA1F  CACNA2D1  CACNB4"
0.000458588774496555,64,249,1.74098882207337,"Path:hsa05132 Salmonella infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05132 "," ARPC4  ARPC3  ARPC2  NOD1  ARPC1A  EXOC5  DCTN6  WASF3  AHNAK2  DYNLL2  MAPK14  DYNC1I1  DYNC1I2  AKT1  TAB2  FLNB  FLNC  EXOC7  FOS  SNX33  TAB3  GAPDH  FBXO22  CYFIP2  ANXA2  HSP90AB1  IRAK1  ARF6  KLC1  KPNA4  RHOH  MYC  MYD88  MYO6  NFKB1  NFKBIA  PAK3  LEF1  PFN2  PIK3C2G  PIK3CA  PIK3CB  PIK3CG  TLR9  BRK1  ACTR10  MAPK10  MAPK13  MAP2K6  ACTR3B  RHOJ  VPS18  BAK1  MYL7  RAF1  ACTB  SKP1  TCF7  TLR2  ACTG1  CASP8  TNFRSF10B  WASL  CYTH1"
0.000549084491768957,53,197,1.82232150102334,"Path:hsa05130 Pathogenic Escherichia coli infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05130 "," ARPC4  ARPC3  ARPC2  SEC24B  BAIAP2  ARPC1A  GNA13  SEC24A  WASF3  TMED10  MAPK14  TAB2  FOS  TAB3  GAPDH  CYFIP2  LPAR4  HCLS1  IRAK1  ARF6  MYO1B  MYD88  MYO1C  MYO5B  MYO6  MYO10  NCL  NFKB1  NFKBIA  CLDN11  PAK2  PAK3  CLDN18  CLDN22  BRK1  MYO5C  MAPK10  MAPK13  LPAR5  ACTR3B  PTPN6  BAK1  PTPN11  ACTB  WIPF3  ACTG1  CASP8  TNFRSF10B  WASL  CLDN2  CLDN9  CYTH1  SLC9A3R1"
0.000605643027830625,71,294,1.63578557533138,"Path:hsa04010 MAPK signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04010 "," MAP3K2  MAPK14  DUSP4  DUSP6  DUSP7  DUSP9  EFNA5  EGFR  ELK1  AKT1  MECOM  FGF2  FGF7  FGFR1  VEGFD  TAB2  MAPK8IP3  FLNB  FLNC  FLT4  FOS  PLA2G4F  FGF20  CACNG5  CACNG4  ANGPT1  ANGPT2  HGF  IGF1  IGF1R  IRAK1  KITLG  MYC  MYD88  NFATC1  NFKB1  NGF  NTRK2  PAK2  TAOK3  PDGFRB  MAP3K20  PGF  PPM1A  PPP3CA  CACNA2D3  MAPK10  MAPK13  PDGFC  MAP2K5  MAP2K6  PTPRR  RAF1  RAP1B  RASA2  SOS2  SRF  BRAF  STK3  TP53  VEGFA  CACNA1D  CACNA1F  CACNA2D1  CACNB4  MAPKAPK3  MAPKAPK5  LAMTOR3  MAP3K13  RPS6KA5  RAPGEF2"
0.000605643027830625,61,240,1.72160671995263,"Path:hsa04020 Calcium signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04020 "," ADCY1  ADCY2  CHRM2  ADCY8  ADCY9  AGTR1  EDNRA  EDNRB  EGFR  FGF2  FGF7  FGFR1  VEGFD  FLT4  FGF20  GNAQ  GRIN2A  GRIN2C  GRM1  HGF  HRH2  HTR2C  HTR5A  MYLK4  ITPR1  ITPR3  ASPH  MYLK  NGF  NOS1  ATP2A2  ATP2A3  ATP2B1  ATP2B2  NTRK2  NTRK3  P2RX1  P2RX5  PDE1A  PDE1C  PDGFRB  PLCB2  PLCG2  TPCN1  PPP3CA  PDGFC  BDKRB1  RYR3  SLC8A3  VDAC1  VEGFA  CACNA1D  CACNA1F  ORAI2  CAMK4  CAMK2B  CAMK2D  PLCD4  ORAI1  CAMK1  PLCZ1"
0.000605643027830625,31,97,2.16473787332222,"Path:hsa04713 Circadian entrainment","http://www.genome.jp/kegg-bin/show_pathway?hsa04713 "," ADCY1  ADCY2  ADCY5  ADCY8  ADCY9  ADCYAP1R1  FOS  GNAI1  GNAI2  GNAO1  GNAQ  GNB2  GNG11  GRIA2  GRIA3  GRIN2A  GRIN2B  GRIN2C  GUCY1A1  ITPR1  ITPR3  NOS1  PLCB2  GNG2  GNB4  RYR3  CACNA1D  CAMK2B  CAMK2D  PER2  RPS6KA5"
0.000605643027830625,31,96,2.18728722616933,"Path:hsa05414 Dilated cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05414 "," ADCY1  ADCY2  ADCY5  ADCY8  ADCY9  DAG1  DES  DMD  ITGA11  CACNG5  CACNG4  IGF1  ITGA6  ITGA3  ITGA4  ITGB4  ITGB8  ATP2A2  ATP2A3  CACNA2D3  ACTB  SGCA  SGCD  SLC8A3  ACTC1  ACTG1  TTN  CACNA1D  CACNA1F  CACNA2D1  CACNB4"
0.000653307325463551,43,154,1.89131161910913,"Path:hsa04921 Oxytocin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04921 "," CAMKK2  ADCY1  ADCY2  ADCY5  ADCY8  ADCY9  EGFR  ELK1  FOS  PLA2G4F  CACNG5  CACNG4  GNAI1  GNAI2  GNAO1  GNAQ  GUCY1A1  MYLK4  ITPR1  ITPR3  KCNJ2  MYLK  NFATC1  PRKAG2  PIK3CG  PLCB2  PRKAG3  PPP1CC  PPP3CA  CACNA2D3  MAP2K5  RAF1  ACTB  RYR3  ACTG1  CACNA1D  CACNA1F  CACNA2D1  CACNB4  CAMK4  CAMK2B  CAMK2D  CAMK1"
0.000759125199062488,29,90,2.18258338267219,"Path:hsa05410 Hypertrophic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05410 "," DAG1  ACE  DES  DMD  ITGA11  CACNG5  CACNG4  IGF1  ITGA6  ITGA3  ITGA4  ITGB4  ITGB8  ATP2A2  ATP2A3  PRKAG2  PRKAG3  CACNA2D3  ACTB  SGCA  SGCD  SLC8A3  ACTC1  ACTG1  TTN  CACNA1D  CACNA1F  CACNA2D1  CACNB4"
