"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.08696018213245e-05,27,89,2.94752737422171,"Path:hsa04211 Longevity regulating pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04211 "," CAMKK2  ADCY1  ADCY2  PPARGC1A  ADCY9  CREB1  EIF4E  FOXO1  FOXO3  IGF1  IGF1R  IRS1  NFKB1  NRAS  PIK3CA  PRKAB1  RPS6KB1  CREB3L2  SOD2  TP53  CAMK4  ULK1  IRS2  ADIPOQ  EIF4E2  ATG5  CREB5"
0.000432515468751971,30,119,2.44939249585184,"Path:hsa04722 Neurotrophin signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04722 "," CRK  FOXO3  GSK3B  IRS1  SHC4  NFKB1  NFKBIA  NRAS  NTRK2  NTRK3  PIK3CA  PRKCD  MAPK10  MAPK13  PSEN1  PTPN11  RAF1  RAP1B  RPS6KA2  RPS6KA3  BRAF  TP53  CALM1  CAMK4  CAMK2A  CAMK2B  CAMK2D  RIPK2  RPS6KA5  MAGED1"
0.00147181260004056,32,141,2.20503229886615,"Path:hsa04140 Autophagy-animal","http://www.genome.jp/kegg-bin/show_pathway?hsa04140 "," TANK  ATG7  CAMKK2  EIF2S1  ERN1  DAPK2  WIPI2  HIF1A  HMGB1  IGF1R  IRS1  EIF2AK4  NRAS  PIK3C3  PIK3CA  WIPI1  PPP2CB  SUPT20H  PRKCD  MAPK10  RRAGD  RAF1  RPS6KB1  MAP1LC3B2  ATG3  VMP1  ULK1  IRS2  MTMR4  ATG12  ATG5  RUBCN"
0.00181869334766058,47,246,1.85629434001346,"Path:hsa05131 Shigellosis","http://www.genome.jp/kegg-bin/show_pathway?hsa05131 "," ARPC4  ARPC1B  ACTR3  ARPC2  ARPC1A  MALT1  SEPTIN12  CRK  FOXO1  FOXO3  SEPTIN6  SEPTIN8  TAB3  WIPI2  GSK3B  ARF6  MDM2  FOXO4  SEPTIN2  NFKB1  NFKBIA  PFN2  PIK3C3  PIK3CA  CYCS  WIPI1  PRKCD  MAPK10  MAPK13  ACTR3B  PTK2  RRAGD  ACTB  RPS6KB1  MAP1LC3B2  TNFRSF1A  TP53  UBE2N  VDAC1  CAST  H3C8  RIPK2  ATG12  RPS6KA5  ATG5  ELMO1  SEPTIN7"
0.00369463307589794,21,84,2.42898089171975,"Path:hsa04012 ErbB signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04012 "," CRK  NRG4  ERBB4  GSK3B  NRG1  SHC4  NRAS  PAK2  PAK3  PIK3CA  PRKCA  PRKCB  MAPK10  PTK2  RAF1  RPS6KB1  BRAF  CAMK2A  CAMK2B  CAMK2D  CBLB"
0.00369463307589794,30,142,2.05265990849556,"Path:hsa04120 Ubiquitin mediated proteolysis","http://www.genome.jp/kegg-bin/show_pathway?hsa04120 "," UBE2E3  WWP2  UBE2F  RHOBTB2  MGRN1  NEDD4L  XIAP  MDM2  PRKN  UBR5  ANAPC5  ANAPC11  DET1  UBE2W  FBXW7  UBE2O  SMURF2  ELOC  UBA1  UBA7  UBE2I  UBE2N  VHL  CUL4B  CUL3  PIAS1  CBLB  UBE3B  SOCS3  PIAS2"
0.00369463307589794,25,108,2.24905638122199,"Path:hsa04931 Insulin resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa04931 "," PPARGC1A  PPARGC1B  CREB1  FOXO1  GSK3B  ACACB  IRS1  NFKB1  NFKBIA  PIK3CA  PRKAB1  PRKCB  PRKCD  MAPK10  PTPN11  PYGL  RPS6KA2  RPS6KA3  RPS6KB1  CREB3L2  TNFRSF1A  OGT  IRS2  SOCS3  CREB5"
0.00369463307589794,27,120,2.18608280254777,"Path:hsa04935 Growth hormone synthesis secretion and action","http://www.genome.jp/kegg-bin/show_pathway?hsa04935 "," ADCY1  ADCY2  ADCY9  CREB1  CRK  GNAI1  GNAQ  GSK3B  IGF1  IRS1  SHC4  NRAS  PIK3CA  PRKCA  PRKCB  MAPK10  MAPK13  MAP2K6  PTK2  RAF1  CREB3L2  SSTR2  STAT1  CACNA1D  IRS2  SOCS2  SOCS3"
0.00369463307589794,33,161,1.99146259445346,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CDK6  SPRY2  TRIM71  CRK  EFNA5  DICER1  FOXP1  GLS  HDAC2  APC  IRS1  SHC4  MARCKS  MDM2  MMP16  NFKB1  NRAS  PDGFA  PIK3CA  PRKCA  PRKCB  RAF1  SLC7A1  SOX4  TP53  UBE2I  FZD3  TP63  IRS2  CCND2  RPS6KA5  HDAC4  ZEB2"
0.00526298128508816,19,75,2.46136730360934,"Path:hsa05214 Glioma","http://www.genome.jp/kegg-bin/show_pathway?hsa05214 "," CDK6  IGF1  IGF1R  SHC4  MDM2  NRAS  PDGFA  PIK3CA  PRKCA  PRKCB  RAF1  BRAF  TP53  CALM1  CAMK4  CAMK2A  CAMK2B  CAMK2D  CAMK1"
